step,time,lambda0,lambdas,cost
38,3.9000000000000004,0.9996193845967126,"[35.84743882  2.06930867  1.286822    1.77341287 -1.550982    0.48077899
 -0.44981519  1.40239426]",-0.998147683261828
39,4.0,0.9996395566437557,"[36.84741613  2.06931491  1.28685648  1.7733512  -1.55095727  0.48077464
 -0.44980646  1.40245207]",-0.9985056693319516
40,4.1000000000000005,0.9995967630597515,"[37.84740191  2.06928961  1.28685138  1.77333785 -1.5509152   0.480767
 -0.44987885  1.40245947]",-0.998637000849404
41,4.2,0.9995623274867556,"[38.84744604  2.06932584  1.28684195  1.77338359 -1.55092898  0.48081949
 -0.44988261  1.4024798 ]",-0.9983814277701951
42,4.3,0.9995333093153125,"[39.84748379  2.06935318  1.28688894  1.77338689 -1.55095588  0.480835
 -0.44990366  1.40253776]",-0.9980332194154786
43,4.4,0.9994984862926539,"[40.84748752  2.06937025  1.2868223   1.77341027 -1.55093186  0.48082346
 -0.44986261  1.40257092]",-0.9979559159262792
44,4.5,0.9994470359582263,"[41.84748142  2.06934991  1.28679827  1.7733908  -1.55092176  0.48087049
 -0.44980841  1.40259725]",-0.9979282710215072
45,4.6000000000000005,0.9994416301877057,"[42.84748242  2.06931633  1.28673157  1.77343571 -1.55087512  0.48087653
 -0.44982119  1.40259803]",-0.9980581050773267
46,4.7,0.9993664351692032,"[43.84746734  2.06931747  1.28670321  1.77342811 -1.5509092   0.48089409
 -0.4498531   1.40257033]",-0.9982543265294916
47,4.800000000000001,0.9993966947725276,"[44.84745942  2.06934123  1.28665482  1.77343559 -1.55083413  0.48090187
 -0.44984216  1.40258595]",-0.9980139789685121
48,4.9,0.999405161142697,"[45.84749374  2.06932429  1.28670217  1.77340448 -1.55085568  0.48095758
 -0.44985104  1.40262604]",-0.9977860316951642
49,5.0,0.9994324711547304,"[46.84748774  2.06926716  1.28671341  1.77340856 -1.55086745  0.48100412
 -0.44986158  1.40256776]",-0.9976268980410331
