step,time,lambda0,lambdas,cost
0,0.0,1.0,"[-0.7877556   5.44840824  1.46606468 -1.12507393 -0.39568486 -2.19920705
 -2.19452949  4.53742048]",
0,0.1,0.999990060685172,"[ 0.21227104  5.44838501  1.46611913 -1.12504669 -0.39564901 -2.19916665
 -2.19452447  4.53737573]",-0.9818964592483385
1,0.2,0.9999966147548626,"[ 1.21222491  5.44844471  1.46612724 -1.12500821 -0.3956387  -2.19915265
 -2.19454281  4.53733012]",-0.9821083859778047
2,0.30000000000000004,1.000016907167066,"[ 2.21216725  5.44846208  1.4661016  -1.12503042 -0.39561107 -2.19917841
 -2.19455148  4.53738765]",-0.9825431104689721
3,0.4,1.0000314687134235,"[ 3.21212785  5.44847488  1.46612837 -1.12497262 -0.39565361 -2.19921797
 -2.19457601  4.53738151]",-0.9828257617632503
4,0.5,1.0000234979139575,"[ 4.21214752  5.44846324  1.46612862 -1.12505238 -0.39564    -2.19921317
 -2.19457687  4.53732819]",-0.9825919040137245
5,0.6000000000000001,1.0000557244604091,"[ 5.21215924  5.44840313  1.46615784 -1.1250498  -0.39565329 -2.19926609
 -2.19455128  4.53730139]",-0.9820980632361258
6,0.7000000000000001,1.000012459896026,"[ 6.21215944  5.44843083  1.46621354 -1.12501139 -0.39568304 -2.19924555
 -2.194589    4.53729407]",-0.9819475836779674
7,0.8,1.0000337352443083,"[ 7.2121513   5.44844029  1.46628343 -1.12499512 -0.39570252 -2.19920501
 -2.19457776  4.53724833]",-0.982039365786296
8,0.9,0.9999805934591909,"[ 8.21213035  5.44846169  1.46626779 -1.1249499  -0.39575333 -2.19920932
 -2.19459455  4.53728161]",-0.9825556458657674
9,1.0,0.9999789132933317,"[ 9.21219292  5.44849795  1.46632184 -1.12493911 -0.39574422 -2.19917128
 -2.1946068   4.53728859]",-0.9827862925855202
10,1.1,0.9999643034300506,"[10.21219491  5.44845017  1.46629878 -1.12496145 -0.39575024 -2.19914958
 -2.19467115  4.53724592]",-0.9825751034639192
11,1.2000000000000002,0.9999640488441627,"[11.21222629  5.44842465  1.46633299 -1.12499824 -0.39577273 -2.19919536
 -2.19467902  4.53718956]",-0.9821439800418638
12,1.3,1.0000125319746984,"[12.212227    5.44843443  1.46634111 -1.12497616 -0.3957404  -2.19912506
 -2.19468268  4.53715794]",-0.9817990800452729
