step,time,lambda0,lambdas,cost
13,1.4000000000000001,1.0000050471599287,"[13.21226339  5.44844089  1.46626865 -1.12501255 -0.39570722 -2.19915102
 -2.19468338  4.53714282]",-0.9819964778532648
14,1.5,1.00000684210007,"[14.21222981  5.44842085  1.46624682 -1.12501195 -0.39571421 -2.19917569
 -2.19462578  4.53720618]",-0.982286237253827
15,1.6,0.99998754467606,"[15.21229743  5.44836877  1.4662504  -1.12500863 -0.39569195 -2.19913659
 -2.19464286  4.53720785]",-0.9827218832536188
16,1.7000000000000002,0.999976835288484,"[16.2122371   5.44832967  1.46619791 -1.12504488 -0.39567428 -2.19914245
 -2.19465975  4.53721182]",-0.9826773644753055
17,1.8,0.9999509131747126,"[17.2122227   5.44831217  1.46613468 -1.12505885 -0.39567269 -2.19911462
 -2.19463307  4.53715586]",-0.9822765689547899
18,1.9000000000000001,0.9999795271788343,"[18.21219436  5.44832955  1.46610933 -1.12510809 -0.39564947 -2.19906998
 -2.19464031  4.53720508]",-0.9818558352178587
19,2.0,0.9999420766646907,"[19.21217971  5.44833725  1.46606862 -1.12504019 -0.39563204 -2.19904362
 -2.1946251   4.53717636]",-0.9818652001256093
20,2.1,0.9999145971340675,"[20.21214904  5.44836997  1.46608157 -1.12499913 -0.39566407 -2.19906761
 -2.19456594  4.53715964]",-0.9820827334211646
21,2.2,0.9998763177544884,"[21.21216393  5.44831861  1.46606974 -1.12496396 -0.39572897 -2.19907652
 -2.19456673  4.53715709]",-0.9824918453264027
22,2.3000000000000003,0.9998900444317315,"[22.21217987  5.44829774  1.46603029 -1.12494916 -0.39577803 -2.19904252
 -2.19461668  4.53712119]",-0.9825507664039141
23,2.4000000000000004,0.9998700799057106,"[23.21214449  5.44827261  1.4660759  -1.12488365 -0.39580978 -2.19905716
 -2.19460668  4.53711637]",-0.9822407958650048
24,2.5,0.9998751240951634,"[24.21215539  5.448285    1.46605191 -1.12480742 -0.39575379 -2.19904678
 -2.19459818  4.53711549]",-0.9817497226813399
25,2.6,0.9998784119068663,"[25.21215557  5.44830679  1.46602435 -1.12479616 -0.39571944 -2.19903447
 -2.19467879  4.53714375]",-0.9815930233085252
26,2.7,0.9998702651554181,"[26.21217982  5.4483558   1.46599421 -1.12478118 -0.3957225  -2.19905243
 -2.19463061  4.53719995]",-0.9818158368172446
27,2.8000000000000003,0.9998563152407627,"[27.21215217  5.44831703  1.46599148 -1.12476615 -0.39564807 -2.19908258
 -2.19460292  4.53720936]",-0.9822250316516096
28,2.9000000000000004,0.9998761092375971,"[28.21217801  5.44827092  1.46595168 -1.12473679 -0.39563481 -2.19909801
 -2.1945651   4.53725959]",-0.9824871832916195
29,3.0,0.9998880686038285,"[29.21218165  5.44825505  1.46588339 -1.12473396 -0.39558996 -2.19911606
 -2.19451431  4.53725755]",-0.9823581449579581
30,3.1,0.9998592053973249,"[30.21219864  5.44822327  1.46590223 -1.12479197 -0.3955363  -2.19912688
 -2.19454416  4.53727371]",-0.9819520629472337
31,3.2,0.9998176273597434,"[31.21221284  5.44818782  1.46589706 -1.1247668  -0.39550383 -2.19911613
 -2.19461474  4.53727226]",-0.9815938249055071
32,3.3000000000000003,0.9998536941267262,"[32.21224075  5.44822397  1.46590714 -1.12480531 -0.39554602 -2.19913894
 -2.19465279  4.53730802]",-0.9815903685000604
33,3.4000000000000004,0.9999397102867532,"[33.21226381  5.44824602  1.46590943 -1.12484067 -0.39556004 -2.19912884
 -2.19464753  4.53730936]",-0.9821268659961455
34,3.5,0.9999288442729561,"[34.21229898  5.44822759  1.46591794 -1.12486261 -0.39560803 -2.19912034
 -2.19467515  4.53737728]",-0.982597622612774
35,3.6,0.9999343240293198,"[35.21233675  5.4482622   1.46597528 -1.12490185 -0.39561514 -2.19915458
 -2.19469626  4.53740643]",-0.982471994755966
36,3.7,0.9999526458627372,"[36.21236932  5.44826348  1.46598505 -1.12484436 -0.39560921 -2.19909306
 -2.19468211  4.5374408 ]",-0.9821274056498005
37,3.8000000000000003,0.9999711581857976,"[37.21232763  5.44827976  1.46600739 -1.12484433 -0.39562405 -2.1990777
 -2.19474648  4.53749134]",-0.9817927882103928
38,3.9000000000000004,0.999987200738603,"[38.21230505  5.44827025  1.46594052 -1.12484709 -0.39564071 -2.19909615
 -2.19476652  4.53743099]",-0.9818182147823448
39,4.0,0.9999277272623525,"[39.21232469  5.44829652  1.46593795 -1.12478346 -0.39561772 -2.19908907
 -2.19478096  4.53745432]",-0.9822647656454431
40,4.1000000000000005,0.9999155982880649,"[40.21232057  5.44832664  1.46588994 -1.12473898 -0.3956776  -2.19907112
 -2.19478904  4.53742837]",-0.9825278904777559
41,4.2,0.9998854763602986,"[41.21230874  5.44836315  1.46586884 -1.12478299 -0.39562855 -2.19906006
 -2.19482438  4.53739015]",-0.9826285401843836
42,4.3,0.9998671611100788,"[42.21227795  5.44838722  1.46591547 -1.12476003 -0.3956138  -2.199016
 -2.19484063  4.53744504]",-0.9821295964347315
43,4.4,0.9998453809670081,"[43.21226955  5.4484049   1.46591877 -1.12479641 -0.39567519 -2.19903275
 -2.19489264  4.53747751]",-0.9817073766040177
44,4.5,0.999884878886246,"[44.21229873  5.44840431  1.46592371 -1.1247556  -0.39568434 -2.19905244
 -2.19485794  4.53754249]",-0.9815066182029373
45,4.6000000000000005,0.9998717590495277,"[45.21231761  5.44845973  1.46590076 -1.12470822 -0.39570157 -2.19904276
 -2.19481794  4.53758296]",-0.9819315038189295
46,4.7,0.9998515960210627,"[46.212348    5.44851937  1.4658419  -1.12466988 -0.3957033  -2.19903737
 -2.1948076   4.53758931]",-0.9823068699161847
47,4.800000000000001,0.9998466299209383,"[47.21239185  5.44845422  1.46586209 -1.12468053 -0.39575692 -2.19902111
 -2.19480303  4.53757799]",-0.9824424910671836
48,4.9,0.9998413130661875,"[48.21239355  5.44846249  1.46581623 -1.12468533 -0.39569816 -2.19901715
 -2.19486812  4.53756969]",-0.9822290186007082
49,5.0,0.9998263082595127,"[49.21242823  5.44842107  1.46580497 -1.12469946 -0.39574835 -2.19902751
 -2.19485247  4.53763018]",-0.9817319607070861
